"","idhous99","idpers_new","idpers","sex","birthm","birthy","age","marstat","intlang","religion","disrel_fr","health","work","income","cfriends","reading","inchild","children","education","fath15","moth15","stepp15","sib15","inear15","ocfath15","edufath","mthwk15","ocmth15","edumth","fathpol","mothpol"
"757",58771,1,5877102,"woman",4,1949,50,"married","german","roman catholic","","so, so (average)","not in labor force",-4,4,"every day",3,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","centre","no particular tendency"
"758",58811,1,5881102,"woman",4,1949,50,"married","german","roman catholic","","well","active occupied",-4,8,"every day",1,1,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"759",58931,1,5893101,"woman",5,1954,45,"divorced","german","roman catholic","never","so, so (average)","active occupied",45500,28,"every day",1,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"760",59031,1,5903101,"woman",2,1948,51,"divorced","german","other","","so, so (average)","active occupied",38675,4,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","high school","left","left"
"761",59111,1,5911102,"woman",2,1948,51,"married","german","roman catholic","never","very well","not in labor force",-4,NA,"at least once a week",2,2,"compulsory or less","yes","yes","inapplicable","yes","father","service workers, market sales workers",1,"no",NA,"compulsory or less","no particular tendency","left"
"762",59321,1,5932102,"woman",1,1950,49,"married","german","roman catholic","","well","not in labor force",-4,4,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"no","craft and related trades workers","general training/apprenticeship","centre","don't know"
"763",59371,1,5937102,"woman",10,1953,46,"married","german","protestant or reformed church","","very well","active occupied",45500,2,"at least once a month",3,3,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"high school","no particular tendency","no particular tendency"
"764",59391,1,5939101,"woman",2,1950,49,"married","german","roman catholic","never","well","active occupied",-5,NA,"never",3,3,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"765",59631,1,5963102,"woman",11,1936,63,"married","german","protestant or reformed church","never","very well","not in labor force",-2,NA,"every day",0,4,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"766",59641,1,5964103,"woman",10,1919,80,"married","german","protestant or reformed church","","very well","not in labor force",-5,20,"every day",0,4,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no","skilled agricultural and fishery workers","general training/apprenticeship","innaplicable","innaplicable"
"767",59751,1,5975102,"woman",10,1947,52,"married","german","protestant or reformed church","","well","not in labor force",-2,NA,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","no particular tendency","no particular tendency"
"768",59821,1,5982101,"woman",10,1946,53,"married","german","protestant or reformed church","never","not very well","not in labor force",-4,4,"at least once a week",0,0,"domestic science course, 1yr","yes","yes","inapplicable","no","both equally","craft and related trades workers",3,"yes","elementary occupations","compulsory or less","no particular tendency","no particular tendency"
"769",59841,1,5984101,"woman",8,1927,72,"widower/widow","german","no denomination or religion","never","well","not in labor force",-8,NA,"every day",0,1,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","service workers, market sales workers","compulsory or less","other","other"
"770",59861,1,5986102,"woman",5,1953,46,"married","german","no denomination or religion","never","very well","active occupied",65000,4,"at least once a week",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",3,"yes","craft and related trades workers","compulsory or less","innaplicable","innaplicable"
"771",59941,1,5994101,"woman",4,1913,86,"widower/widow","german","protestant or reformed church","very often","very well","not in labor force",28512,4,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","innaplicable","innaplicable"
"772",59961,1,5996102,"woman",4,1933,66,"married","german","protestant or reformed church","","well","not in labor force",11160,4,"every day",0,8,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"no","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"773",60031,1,6003102,"woman",4,1948,51,"married","german","roman catholic","","very well","active occupied",386750,4,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no","service workers, market sales workers","general training/apprenticeship","right","no particular tendency"
"774",60131,1,6013102,"woman",8,1948,51,"married","german","protestant or reformed church","","very well","not in labor force",-4,28,"every day",1,3,"high school","yes","yes","inapplicable","yes","both equally","technicians and associate professionals",5,"yes","technicians and associate professionals","high school","centre","centre"
"775",60231,1,6023101,"woman",10,1931,68,"widower/widow","german","protestant or reformed church","","so, so (average)","not in labor force",-4,4,"never",1,4,"domestic science course, 1yr","no","no","inapplicable","no","a guardian","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","don't know","don't know"
"776",60241,1,6024102,"woman",12,1940,59,"married","german","protestant or reformed church","","well","not in labor force",-2,4,"every day",0,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","left","left"
"777",60271,1,6027102,"woman",9,1941,58,"married","german","protestant or reformed church","never","well","active occupied",4800,4,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","right","right"
"778",60301,1,6030102,"woman",3,1943,56,"married","german","protestant or reformed church","never","well","active occupied",-2,3,"every day",0,2,"high school","yes","yes","inapplicable","no","father","elementary occupations",3,"no","service workers, market sales workers","compulsory or less","centre","no particular tendency"
"779",60341,1,6034102,"woman",9,1937,62,"married","german","protestant or reformed church","","very well","active occupied",16800,1,"every day",1,1,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",3,"yes","craft and related trades workers","general training/apprenticeship","right","right"
"780",60491,1,6049101,"woman",5,1928,71,"widower/widow","german","roman catholic","","well","not in labor force",24805.44,8,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no",NA,"compulsory or less","other","no particular tendency"
"781",60561,1,6056102,"woman",4,1946,53,"married","german","protestant or reformed church","","well","active occupied",49980,4,"every day",0,2,"general training/apprenticeship","no","yes","inapplicable","yes","mother","legislators, senior officials, managers",3,"yes","skilled agricultural and fishery workers","compulsory or less","centre","centre"
"782",60571,1,6057101,"woman",12,1929,70,"single, never married","german","protestant or reformed church","never","well","not in labor force",-4,4,"every day",0,0,"general training/apprenticeship","no","yes","inapplicable","yes","mother","skilled agricultural and fishery workers",3,"no",NA,"compulsory or less","right","centre"
"783",60611,1,6061102,"woman",2,1923,76,"married","german","protestant or reformed church","","so, so (average)","not in labor force",10800,1,"every day",0,3,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","high school","right","left"
"784",60661,1,6066102,"woman",5,1953,46,"married","german","protestant or reformed church","","well","active occupied",47600,2,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","compulsory or less","no particular tendency","no particular tendency"
"785",60671,1,6067102,"woman",5,1923,76,"married","german","protestant or reformed church","","not very well","not in labor force",-2,28,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no","service workers, market sales workers","general training/apprenticeship","right","right"
"786",60751,1,6075101,"woman",9,1924,75,"widower/widow","german","protestant or reformed church","never","so, so (average)","not in labor force",-2,NA,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"yes","technicians and associate professionals","high school","centre","centre"
"787",60771,1,6077101,"woman",12,1934,65,"divorced","german","no denomination or religion","","so, so (average)","not in labor force",31104,4,"every day",0,2,"university/postgrad","no","yes","inapplicable","no","a guardian",NA,0,"yes","elementary occupations","compulsory or less","no particular tendency","no particular tendency"
"788",60841,1,6084101,"woman",6,1954,45,"married","german","roman catholic","","very well","not in labor force",-5,1,"every day",1,2,"high school","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no","service workers, market sales workers","general training/apprenticeship","centre","no particular tendency"
"789",60901,1,6090102,"woman",12,1933,66,"married","german","protestant or reformed church","","well","not in labor force",-2,4,"every day",0,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"790",60931,1,6093101,"woman",7,1914,85,"single, never married","german","protestant or reformed church","","well","not in labor force",20736,1,"never",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",3,"yes","skilled agricultural and fishery workers","general training/apprenticeship","other","other"
"791",60951,1,6095102,"woman",12,1950,49,"married","german","protestant or reformed church","","very well","active occupied",20000,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father",NA,3,"no","service workers, market sales workers","compulsory or less","left","no particular tendency"
"792",61051,1,6105101,"woman",4,1942,57,"married","german","protestant or reformed church","","very well","active occupied",6500,4,"at least once a week",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"yes","elementary occupations","general training/apprenticeship","right","right"
"793",61151,1,6115102,"woman",10,1941,58,"married","german","protestant or reformed church","","so, so (average)","not in labor force",-4,1,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"794",61361,1,6136101,"woman",8,1912,87,"widower/widow","german","no denomination or religion","","well","not in labor force",-2,4,"every day",0,2,"high school","no","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"no","professionals","general training/apprenticeship","innaplicable","innaplicable"
"795",61441,1,6144101,"woman",5,1949,50,"divorced","german","protestant or reformed church","","so, so (average)","active occupied",105196,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","professionals",15,"no","service workers, market sales workers","general training/apprenticeship","centre","no particular tendency"
"796",61721,1,6172102,"woman",4,1924,75,"married","german","roman catholic","never","very well","not in labor force",-2,2,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"no",NA,"compulsory or less","right","right"
"797",61781,1,6178101,"woman",11,1949,50,"married","german","protestant or reformed church","","well","active occupied",54145,2,"every day",1,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"798",62081,1,6208101,"woman",5,1949,50,"married","german","protestant or reformed church","","well","not in labor force",-4,1,"every day",4,4,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no","service workers, market sales workers","high school","innaplicable","innaplicable"
"799",62201,1,6220102,"woman",4,1936,63,"married","german","roman catholic","","well","active occupied",-8,2,"every day",0,4,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"800",62371,1,6237102,"woman",7,1938,61,"married","german","no denomination or religion","never","so, so (average)","not in labor force",-5,4,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"no","craft and related trades workers","general training/apprenticeship","centre","no particular tendency"
"801",62491,1,6249101,"woman",5,1913,86,"widower/widow","german","protestant or reformed church","","so, so (average)","not in labor force",-2,4,"every day",0,4,"compulsory or less","no","yes","inapplicable","no","mother","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"802",62561,1,6256102,"woman",5,1946,53,"married","german","protestant or reformed church","","very well","active occupied",-2,1,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","don't know","no particular tendency"
"803",62711,1,6271101,"woman",11,1948,51,"divorced","german","protestant or reformed church","","very well","active occupied",67200,1,"at least once a month",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"804",62721,1,6272102,"woman",8,1944,55,"married","german","protestant or reformed church","","very well","not in labor force",-5,4,"every day",0,0,"domestic science course, 1yr","no","yes","inapplicable","yes","mother","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","other","right"
"805",62781,1,6278101,"woman",1,1929,70,"widower/widow","german","roman catholic","","well","not in labor force",21600,2,"every day",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"806",62841,1,6284102,"woman",7,1938,61,"married","german","protestant or reformed church","","well","active occupied",-5,NA,"every day",0,0,"domestic science course, 1yr","yes","no","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"no","skilled agricultural and fishery workers","compulsory or less","right","other"
"807",62901,1,6290102,"woman",1,1936,63,"married","german","protestant or reformed church","never","well","not in labor force",-2,4,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"yes","elementary occupations","compulsory or less","right","right"
"808",63441,1,6344101,"woman",5,1924,75,"single, never married","german","protestant or reformed church","","well","not in labor force",71280,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes","technicians and associate professionals","high school","innaplicable","innaplicable"
"809",63631,1,6363103,"woman",8,1947,52,"married","german","protestant or reformed church","never","well","not in labor force",-4,NA,"at least once a month",0,5,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","no particular tendency","no particular tendency"
"810",63651,1,6365101,"woman",4,1940,59,"married","german","protestant or reformed church","","so, so (average)","not in labor force",-4,2,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","elementary occupations","compulsory or less","other","no particular tendency"
"811",63761,1,6376102,"woman",1,1943,56,"married","german","roman catholic","","so, so (average)","not in labor force",-2,4,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","other","right"
"812",63871,1,6387101,"woman",1,1929,70,"widower/widow","german","roman catholic","","so, so (average)","not in labor force",-4,NA,"every day",0,4,"compulsory or less","yes","yes","inapplicable","yes","both equally","elementary occupations",1,"no","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"813",63901,1,6390101,"woman",6,1943,56,"married","german","no denomination or religion","never","well","active occupied",71500,1,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"814",63931,1,6393101,"woman",11,1951,48,"married","german","protestant or reformed church","","well","active occupied",178500,4,"every day",2,2,"general training/apprenticeship","no","yes","inapplicable","no","mother","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","centre","centre"
"815",63941,1,6394101,"woman",7,1928,71,"divorced","german","roman catholic","","so, so (average)","not in labor force",27216,8,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","technicians and associate professionals","general training/apprenticeship","other","no particular tendency"
"816",63991,1,6399101,"woman",11,1951,48,"married","german","roman catholic","","so, so (average)","active occupied",-5,12,"every day",3,3,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes",NA,"compulsory or less","innaplicable","innaplicable"
"817",64011,1,6401101,"woman",4,1947,52,"married","german","protestant or reformed church","","very well","active occupied",-2,4,"every day",3,3,"high school","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",3,"no","skilled agricultural and fishery workers","high school","centre","centre"
"818",64141,1,6414102,"woman",6,1930,69,"married","german","roman catholic","","very well","active occupied",84000,NA,"every day",0,4,"general training/apprenticeship","no","yes","inapplicable","yes","mother","service workers, market sales workers",1,"yes","service workers, market sales workers","general training/apprenticeship","other","no particular tendency"
"819",64191,1,6419101,"woman",8,1952,47,"married","german","protestant or reformed church","never","very well","active occupied",-5,2,"every day",1,1,"general training/apprenticeship","yes","yes","inapplicable","no","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","right","right"
"820",64241,1,6424101,"woman",11,1928,71,"widower/widow","german","roman catholic","","well","not in labor force",-4,28,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no",NA,"compulsory or less","don't know","don't know"
"821",64391,1,6439102,"woman",4,1946,53,"married","german","protestant or reformed church","","so, so (average)","active occupied",-4,4,"every day",0,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no","skilled agricultural and fishery workers","compulsory or less","right","centre"
"822",64401,1,6440102,"woman",2,1950,49,"married","german","no denomination or religion","","very well","active occupied",-8,4,"every day",1,2,"high school","no","yes","inapplicable","yes","mother","elementary occupations",1,"yes","elementary occupations","compulsory or less","don't know","no particular tendency"
"823",64451,1,6445102,"woman",1,1943,56,"married","german","protestant or reformed church","","well","active occupied",-2,1,"every day",1,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","other","other"
"824",64711,1,6471102,"woman",9,1929,70,"married","german","protestant or reformed church","","well","not in labor force",-2,1,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",5,"yes","skilled agricultural and fishery workers","general training/apprenticeship","right","no particular tendency"
"825",64741,1,6474102,"woman",3,1946,53,"married","german","roman catholic","never","not very well","active occupied",-2,28,"less than once a month",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","don't know","don't know"
"826",64791,1,6479101,"woman",4,1929,70,"married","german","protestant or reformed church","","well","active occupied",-2,2,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","mother","technicians and associate professionals",NA,"yes","technicians and associate professionals","general training/apprenticeship","other","other"
"827",65021,1,6502102,"woman",9,1942,57,"married","german","protestant or reformed church","","well","active occupied",-1,4,"every day",0,3,"domestic science course, 1yr","no","yes","inapplicable","yes","mother","technicians and associate professionals",5,"yes","service workers, market sales workers","high school","right","right"
"828",65161,1,6516102,"woman",11,1937,62,"married","german","protestant or reformed church","","very well","active occupied",35700,1,"every day",0,5,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","craft and related trades workers",5,"yes","legislators, senior officials, managers","high school","innaplicable","innaplicable"
"829",65321,1,6532102,"woman",6,1939,60,"married","german","protestant or reformed church","never","well","not in labor force",-4,NA,"every day",0,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","general training/apprenticeship","innaplicable","innaplicable"
"830",65331,1,6533102,"woman",5,1932,67,"married","german","protestant or reformed church","never","well","not in labor force",-2,4,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","professionals",5,"no",NA,"high school","don't know","don't know"
"831",65341,1,6534102,"woman",12,1921,78,"married","german","roman catholic","never","well","not in labor force",19440,NA,"every day",0,9,"general training/apprenticeship","yes","yes","inapplicable","yes","father","professionals",5,"no",NA,"compulsory or less","right","no particular tendency"
"832",65381,1,6538101,"woman",8,1918,81,"widower/widow","german","protestant or reformed church","never","so, so (average)","not in labor force",-2,4,"every day",0,2,"compulsory or less","no","no","inapplicable","no","a guardian","craft and related trades workers",3,"no","service workers, market sales workers","general training/apprenticeship","other","no particular tendency"
"833",65391,1,6539102,"woman",1,1945,54,"married","german","protestant or reformed church","","very well","active occupied",-5,4,"every day",1,3,"high school","yes","yes","inapplicable","yes","both equally","technicians and associate professionals",3,"yes","technicians and associate professionals","general training/apprenticeship","centre","no particular tendency"
"834",65521,1,6552101,"woman",11,1931,68,"married","german","protestant or reformed church","never","so, so (average)","active occupied",-2,4,"every day",0,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",3,"yes","skilled agricultural and fishery workers","general training/apprenticeship","innaplicable","innaplicable"
"835",65681,1,6568102,"woman",2,1940,59,"married","german","protestant or reformed church","","so, so (average)","active occupied",4200,1,"every day",0,4,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",5,"yes","skilled agricultural and fishery workers","compulsory or less","don't know","no particular tendency"
"836",65701,1,6570101,"woman",3,1949,50,"divorced","german","no denomination or religion","","so, so (average)","active occupied",100555,4,"every day",2,2,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",5,"no","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"837",65711,1,6571102,"woman",1,1943,56,"married","german","protestant or reformed church","","very well","active occupied",-2,4,"every day",1,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"no",NA,"compulsory or less","don't know","don't know"
"838",65871,1,6587102,"woman",6,1954,45,"married","german","no denomination or religion","never","well","active occupied",119000,NA,"every day",1,1,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no",NA,"general training/apprenticeship","innaplicable","innaplicable"
"839",65901,1,6590102,"woman",8,1950,49,"married","german","roman catholic","","well","active occupied",2000,2,"every day",2,2,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"840",65951,1,6595102,"woman",1,1944,55,"married","german","protestant or reformed church","","well","active occupied",40300,NA,"every day",0,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","general training/apprenticeship","don't know","don't know"
"841",65991,1,6599102,"woman",3,1953,46,"married","german","no denomination or religion","never","well","active occupied",47957,1,"at least once a week",2,2,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no",NA,"compulsory or less","centre","left"
"842",66081,1,6608102,"woman",1,1949,50,"married","german","no denomination or religion","","well","active occupied",-2,4,"at least once a week",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","other","no particular tendency"
"843",66091,1,6609101,"woman",3,1913,86,"widower/widow","german","protestant or reformed church","never","so, so (average)","not in labor force",-2,NA,"every day",0,3,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"yes","skilled agricultural and fishery workers","general training/apprenticeship","innaplicable","innaplicable"
"844",66141,1,6614101,"woman",3,1932,67,"divorced","german","roman catholic","","very well","not in labor force",-2,4,"every day",0,2,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",5,"no","professionals","high school","left","left"
"845",66181,1,6618101,"woman",3,1924,75,"separated","german","no denomination or religion","","very well","not in labor force",-2,12,"every day",0,3,"domestic science course, 1yr","no","no","inapplicable","no","a guardian","craft and related trades workers",NA,"yes","elementary occupations",NA,"no particular tendency","no particular tendency"
"846",66191,1,6619101,"woman",8,1922,77,"widower/widow","german","protestant or reformed church","","well","not in labor force",-2,2,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","professionals",15,"no",NA,"compulsory or less","right","right"
"847",66251,1,6625101,"woman",1,1920,79,"widower/widow","german","other","never","well","not in labor force",39600,NA,"every day",0,4,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"no","service workers, market sales workers","compulsory or less","centre","no particular tendency"
"848",66351,1,6635102,"woman",5,1950,49,"married","german","protestant or reformed church","","very well","active occupied",60000,2,"every day",0,0,"general training/apprenticeship","yes","no","inapplicable","yes","father","technicians and associate professionals",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"849",66431,1,6643101,"woman",3,1954,45,"single, never married","german","roman catholic","very often","well","active occupied",104267.8,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no",NA,"compulsory or less","other","other"
"850",66501,1,6650102,"woman",1,1944,55,"married","german","roman catholic","","very well","not in labor force",-4,2,"every day",1,3,"general training/apprenticeship","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"851",66521,1,6652102,"woman",5,1950,49,"married","german","protestant or reformed church","","so, so (average)","not in labor force",-4,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","elementary occupations","compulsory or less","centre","no particular tendency"
"852",66611,1,6661102,"woman",1,1947,52,"married","german","protestant or reformed church","","well","active occupied",45500,1,"every day",2,4,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no","craft and related trades workers","general training/apprenticeship","centre","no particular tendency"
"853",66651,1,6665101,"woman",7,1944,55,"married","german","no denomination or religion","never","very well","active occupied",-2,1,"at least once a month",0,2,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"854",66711,1,6671102,"woman",10,1940,59,"married","german","roman catholic","","very well","active occupied",-2,20,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no","service workers, market sales workers","general training/apprenticeship","centre","centre"
"855",66741,1,6674101,"woman",2,1948,51,"married","german","roman catholic","","so, so (average)","not in labor force",-4,2,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",1,"no","craft and related trades workers","general training/apprenticeship","centre","centre"
"856",66771,1,6677101,"woman",3,1926,73,"widower/widow","german","protestant or reformed church","","well","not in labor force",-2,4,"every day",1,3,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"857",66801,1,6680101,"woman",8,1942,57,"divorced","german","protestant or reformed church","","so, so (average)","active occupied",81900,8,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","other","other"
"858",66901,1,6690102,"woman",8,1946,53,"married","german","other","very often","very well","active occupied",-5,4,"every day",1,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","general training/apprenticeship","left","no particular tendency"
"859",67031,1,6703101,"woman",10,1926,73,"widower/widow","german","protestant or reformed church","","very well","not in labor force",-5,2,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","centre","no particular tendency"
"860",67071,1,6707102,"woman",11,1951,48,"married","german","roman catholic","","very well","active occupied",-5,4,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","right","no particular tendency"
"861",67081,1,6708102,"woman",10,1941,58,"married","german","other","","well","not in labor force",-2,4,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","no particular tendency","no particular tendency"
"862",67141,1,6714102,"woman",12,1937,62,"married","german","roman catholic","","well","not in labor force",21600,4,"every day",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","no particular tendency","no particular tendency"
"863",67261,1,6726101,"woman",2,1923,76,"divorced","german","protestant or reformed church","","so, so (average)","not in labor force",-2,12,"every day",0,1,"high school","no","yes","inapplicable","yes","a guardian","technicians and associate professionals",3,"no",NA,"high school","innaplicable","innaplicable"
"864",67411,1,6741101,"woman",10,1949,50,"married","italian","roman catholic","never","so, so (average)","active occupied",8000,3,"never",0,2,"compulsory or less","yes","yes","inapplicable","no","father","elementary occupations",1,"no","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
